"site number","site location","Cluster","site acronym","date","sample type","MIB (ng/L) ASU","Geosmin  (ng/L) ASU","Beta-cyclocitral (ng/L)","IPMP Recovery (%)","MIB (ng/L) Phoenix","Geosmin  (ng/L) Phoenix","comments"
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2003-11-03",NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2003-11-03",NA,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2003-11-03",NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2003-11-03",NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2003-11-03",NA,7.8,2.7,4.8,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2003-11-03",NA,0,0,3.7,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2003-11-03",NA,2.7,0,0,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2003-11-03",NA,0,0,4.8,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2003-11-03",NA,2,0,0,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2003-11-10",NA,22.4,9.9,0,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2003-11-10",NA,0,0,0,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2003-11-10",NA,13.5,3.2,0,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2003-11-10",NA,10.9,3.5,0,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2003-11-10",NA,32.1,12.3,0,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2003-11-10",NA,18.4,3,0,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2003-11-10",NA,23.8,9.5,0,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2003-11-10",NA,4.3,0,4.6,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2003-11-10",NA,0,0,0,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2003-11-10",NA,6.9,3.1,3.9,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2003-11-10",NA,5.4,2.3,0,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2003-11-10",NA,32,13.8,6.4,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2003-11-10",NA,11.7,0,0,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2003-11-10",NA,33.8,12.8,4.2,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2003-11-10",NA,24.5,7.7,0,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2003-11-10",NA,15,3,0,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2003-11-10",NA,31.8,13.5,2.2,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2003-11-10",NA,25.8,8.6,0,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2003-11-10",NA,5.3,2.8,2.6,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2003-11-10",NA,0,0,0,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2003-11-10",NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2003-11-10",NA,8.1,0,0,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2003-11-10",NA,0,2.6,8.6,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2003-11-10",NA,2.2,0,0,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2003-11-10",NA,0,0,0,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2003-11-10",NA,0,0,0,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2003-11-17",NA,16.5,5.1,3.2,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2003-11-17",NA,3.8,0,4.6,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2003-11-17",NA,13.4,2.3,4,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2003-11-17",NA,27.1,11.9,0,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2003-11-17",NA,31.4,9.8,3.7,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2003-11-17",NA,21.4,8.2,8.7,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2003-11-17",NA,4.8,0,4.7,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2003-11-17",NA,0,0,5.2,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2003-11-17",NA,6.8,0,8.3,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2003-11-17",NA,6.4,0,5.9,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2003-11-17",NA,32.8,17.2,7.3,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2003-11-17",NA,11.6,3.3,0,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2003-11-17",NA,30.6,14.4,3.9,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2003-11-17",NA,14.2,2.9,0,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2003-11-17",NA,14.6,2.4,4.8,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2003-11-17",NA,25.5,7.4,3.8,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2003-11-17",NA,40.6,12.8,4.9,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2003-11-17",NA,4.1,0,9.2,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2003-11-17",NA,3.2,0,0,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2003-11-17",NA,3.7,0,0,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2003-11-17",NA,3,0,0,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2003-11-17",NA,7.6,0,0,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2003-11-17",NA,8.5,0,0,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2003-11-17",NA,5.4,0,0,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2003-11-17",NA,5.6,0,4.7,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2003-11-17",NA,5.6,0,3.9,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2003-11-17",NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2003-11-17",NA,0,0,4.6,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2003-11-17",NA,2.8,0,0,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2003-12-01",NA,0,0,7.2,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2003-12-01",NA,0,0,0,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2003-12-01",NA,5.2,2.1,0,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2003-12-01",NA,9.5,7.8,0,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2003-12-01",NA,0,0,0,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2003-12-01",NA,10.8,7.9,0,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2003-12-01",NA,0,0,2.3,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2003-12-01",NA,0,0,7.8,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2003-12-01",NA,0,0,0,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2003-12-01",NA,2.7,0,0,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2003-12-01",NA,12,10.4,3.3,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2003-12-01",NA,3.8,0,0,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2003-12-01",NA,6.7,7.1,4.9,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2003-12-01",NA,8.4,5.6,2,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2003-12-01",NA,0,0,0,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2003-12-01",NA,13.3,9.5,4.1,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2003-12-01",NA,16.2,9.1,0,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2003-12-01",NA,0,0,3.5,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2003-12-01",NA,0,0,4,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2003-12-01",NA,0,0,0,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2003-12-01",NA,0,0,0,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2003-12-01",NA,0,0,0,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2003-12-01",NA,0,0,0,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2003-12-01",NA,0,0,6.6,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2003-12-01",NA,0,0,11.1,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2003-12-01",NA,0,0,8.5,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2003-12-01",NA,0,0,0,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2003-12-01",NA,0,0,0,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2003-12-15",NA,6.9,3.5,0,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2003-12-15",NA,0,0,0,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2003-12-15",NA,0,0,0,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2003-12-15",NA,0,0,0,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2003-12-15",NA,6.3,2.4,2.4,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2003-12-15",NA,5.6,7.1,6.9,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2003-12-15",NA,8.7,10.1,9.5,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2003-12-15",NA,3.6,5.4,6.7,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2003-12-15",NA,0,0,3.8,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2003-12-15",NA,0,0,5.9,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2003-12-15",NA,0,0,14,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2003-12-15",NA,0,0,7.4,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2003-12-15",NA,17.3,7.5,0,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2003-12-15",NA,3.8,2.6,0,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2003-12-15",NA,9,6.9,7.8,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2003-12-15",NA,10.3,4.6,0,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2003-12-15",NA,3.2,0,4.5,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2003-12-15",NA,0,10.1,0,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2003-12-15",NA,9.8,6.4,5.8,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2003-12-15",NA,10.1,9.7,8.2,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2003-12-15",NA,0,5.5,0,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2003-12-15",NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2003-12-15",NA,0,0,0,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2003-12-15",NA,0,0,0,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2004-01-20",NA,0,3.4,4.8,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2004-01-20",NA,0,2.4,0,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2004-01-20",NA,0,3.3,2.7,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2004-01-20",NA,3.3,2.1,3.8,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2004-01-20",NA,5.3,14.3,0,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2004-01-20",NA,4.6,3.4,4.5,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2004-01-20",NA,0,0,0,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2004-01-20",NA,0,0,3.8,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2004-01-20",NA,2.1,0,5,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2004-01-20",NA,2.1,0,4.9,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2004-01-20",NA,6.8,7.1,5.8,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2004-01-20",NA,7.8,7.5,4.1,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2004-01-20",NA,7.9,7.3,5.8,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2004-01-20",NA,4.3,3.5,0,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2004-01-20",NA,2.6,0,2.7,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2004-01-20",NA,5.8,6.1,3.4,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2004-01-20",NA,6.9,5.9,4,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2004-01-20",NA,0,0,4,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2004-01-20",NA,NA,NA,NA,NA,NA,NA,NA
