"site number","site location","Cluster","site acronym","date","depth (m)","T (C)","DO (mg/l)","pH","Secchi Disk (m)","samples collected","comments"
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2007-06-04",NA,22.5,NA,8.1,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2007-06-04",NA,22.1,NA,8.4,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2007-06-04",NA,24,NA,8.4,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2007-06-04",NA,22.4,NA,8.3,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2007-06-04",NA,23,NA,8.4,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2007-06-04",NA,23.4,NA,8.3,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2007-06-04",NA,24.2,NA,8.1,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2007-06-04",NA,23.2,NA,8.2,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",56.5,18,6.83,7.89,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",54.3,18,6.99,7.9,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",51.3,18,7.11,7.9,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",48.3,18,7.13,7.9,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",45.2,18,7.16,7.9,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",42.3,18.1,7.27,7.9,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",39.2,18.1,7.32,7.9,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",36.2,18.1,7.35,7.89,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",33.3,18.1,7.36,7.92,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",30.2,18.1,7.38,7.92,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",27.2,18.2,7.44,7.93,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",24.2,18.3,7.5,7.94,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",21.4,18.6,7.75,7.97,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",18.4,19.3,8.41,8.07,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",15.4,20.3,11.87,8.44,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",12.5,21.7,13.07,8.42,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",12.6,21.7,13.58,8.43,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",9.7,24,12.34,8.4,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",6.8,25.4,8.6,8.35,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",4,25.5,8.56,8.34,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",2,25.6,8.56,8.36,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-06-04",0.9,23.2,8.94,8.34,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2007-06-04",NA,23.6,NA,8.2,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2007-06-04",NA,23,NA,8.3,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2007-06-04",NA,30,NA,8.3,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2007-06-04",NA,14.8,NA,7.9,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R6-10","Bartlett Reservoir near outlet","verde","bartlett-10m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R6-15","Bartlett Reservoir near outlet","verde","bartlett-15m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R6-20","Bartlett Reservoir near outlet","verde","bartlett-20m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R6-25","Bartlett Reservoir near outlet","verde","bartlett-25m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R6-30","Bartlett Reservoir near outlet","verde","bartlett-30m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R6-35","Bartlett Reservoir near outlet","verde","bartlett-35m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R6-40","Bartlett Reservoir near outlet","verde","bartlett-40m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R6-45","Bartlett Reservoir near outlet","verde","bartlett-45m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R6-5","Bartlett Reservoir near outlet","verde","bartlett-5m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R6-50","Bartlett Reservoir near outlet","verde","bartlett-50m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-0m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R9-10","Saguaro Lake near inlet","salt","saguaro-10m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R9-15","Saguaro Lake near inlet","salt","saguaro-15m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R9-20","Saguaro Lake near inlet","salt","saguaro-20m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R9-25","Saguaro Lake near inlet","salt","saguaro-25m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R9-30","Saguaro Lake near inlet","salt","saguaro-30m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R9-35","Saguaro Lake near inlet","salt","saguaro-35m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R9-40","Saguaro Lake near inlet","salt","saguaro-40m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R9-45","Saguaro Lake near inlet","salt","saguaro-45m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R9-5","Saguaro Lake near inlet","salt","saguaro-5m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R9-50","Saguaro Lake near inlet","salt","saguaro-50m","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-0m","2007-06-04",NA,NA,NA,NA,1.83,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2007-06-04",NA,22.4,NA,8.3,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2007-06-04",NA,22.2,NA,8.3,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2007-06-04",NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2007-07-09",NA,27,NA,8.2,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2007-07-09",NA,23.8,NA,7.8,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2007-07-09",NA,24.2,NA,8,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2007-07-09",NA,NA,NA,8.1,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2007-07-09",NA,23.3,NA,8,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2007-07-09",NA,23.1,NA,8.1,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2007-07-09",NA,21.3,NA,8.2,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2007-07-09",NA,23.8,NA,8.2,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2007-07-09",NA,24.5,NA,8.1,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2007-07-09",NA,25.1,NA,7.9,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2007-07-09",NA,23.5,NA,7.8,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",53.81,18.07,5.94,7.82,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",50.73,18.17,6,7.79,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",47.5,18.23,6.08,7.75,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",44.39,18.27,6.07,7.74,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",41.22,18.27,6.1,7.72,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",38.11,18.3,6.19,7.71,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",35.09,18.33,6.27,7.7,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",31.95,18.5,6.46,7.69,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",28.84,18.47,6.61,7.67,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",25.61,18.64,6.57,7.67,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",22.47,18.87,6.95,7.7,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",19.36,19.27,7.77,7.79,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",16.59,20.45,12.11,8.2,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",13.54,22.6,13.79,8.27,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",10.55,26.16,11.54,8.21,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",7.38,27.27,8.11,8.21,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",4.33,27.4,8.04,8.22,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",1.28,27.47,8.05,8.24,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",0.03,25.99,7.56,8.1,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2007-07-09",NA,24.6,NA,8,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2007-07-09",NA,24.4,NA,8.3,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2007-07-09",NA,32.7,NA,8.6,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2007-07-09",NA,13.1,NA,7.8,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R6-10","Bartlett Reservoir near outlet","verde","bartlett-10m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R6-15","Bartlett Reservoir near outlet","verde","bartlett-15m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R6-20","Bartlett Reservoir near outlet","verde","bartlett-20m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R6-25","Bartlett Reservoir near outlet","verde","bartlett-25m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R6-30","Bartlett Reservoir near outlet","verde","bartlett-30m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R6-35","Bartlett Reservoir near outlet","verde","bartlett-35m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R6-40","Bartlett Reservoir near outlet","verde","bartlett-40m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R6-45","Bartlett Reservoir near outlet","verde","bartlett-45m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R6-5","Bartlett Reservoir near outlet","verde","bartlett-5m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R6-50","Bartlett Reservoir near outlet","verde","bartlett-50m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-0m","2007-07-09",NA,NA,NA,NA,3.35,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R9-10","Saguaro Lake near inlet","salt","saguaro-10m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R9-15","Saguaro Lake near inlet","salt","saguaro-15m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R9-20","Saguaro Lake near inlet","salt","saguaro-20m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R9-25","Saguaro Lake near inlet","salt","saguaro-25m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R9-30","Saguaro Lake near inlet","salt","saguaro-30m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R9-35","Saguaro Lake near inlet","salt","saguaro-35m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R9-40","Saguaro Lake near inlet","salt","saguaro-40m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R9-45","Saguaro Lake near inlet","salt","saguaro-45m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R9-5","Saguaro Lake near inlet","salt","saguaro-5m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R9-50","Saguaro Lake near inlet","salt","saguaro-50m","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-0m","2007-07-09",NA,NA,NA,NA,1.83,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2007-07-09",NA,23.9,NA,8.1,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2007-07-09",NA,18.1,NA,8,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2007-07-09",NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2007-08-06",NA,26.6,NA,7.7,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2007-08-06",NA,24.3,NA,7.8,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2007-08-06",NA,24.3,NA,8.1,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2007-08-06",NA,NA,NA,8.2,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2007-08-06",NA,23.5,NA,8.1,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2007-08-06",NA,24.7,NA,8.1,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2007-08-06",NA,17.9,NA,8.2,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2007-08-06",NA,24.7,NA,8.1,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2007-08-06",NA,23.8,NA,8.2,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2007-08-06",NA,24.9,NA,8,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2007-08-06",NA,25.3,NA,7.9,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2007-08-06",NA,23.9,NA,7.9,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",161.9,54.3,4.22,7.67,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",151.8,54.5,4.26,7.61,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",141.6,54.5,4.29,7.6,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",131.2,54.8,4.33,7.6,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",121.2,55,4.56,7.5,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",111.4,55,4.51,7.5,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",101.1,55.6,4.73,7.5,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",91.1,56.3,5.2,7.6,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",80.7,57.2,6.22,7.6,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",70.4,58.6,7.5,7.7,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",60.1,61.5,10.68,8,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",48.8,66.8,12.41,8.1,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",38.6,75.2,11.53,8,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",28.6,83.9,7.9,8.1,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",18.4,84,7.88,8.1,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",8.1,84.4,7.87,8.2,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",0.9,85.3,7.84,8.2,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2007-08-06",NA,25,NA,8,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2007-08-06",NA,24.8,NA,8.1,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2007-08-06",NA,32.3,NA,8.6,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2007-08-06",NA,14.1,NA,7.5,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R6-10","Bartlett Reservoir near outlet","verde","bartlett-10m","2007-08-06",NA,27.5,0.4,NA,NA,NA,NA
"R6-15","Bartlett Reservoir near outlet","verde","bartlett-15m","2007-08-06",NA,23.3,0.1,NA,NA,NA,NA
"R6-20","Bartlett Reservoir near outlet","verde","bartlett-20m","2007-08-06",NA,18.9,0.1,NA,NA,NA,NA
"R6-25","Bartlett Reservoir near outlet","verde","bartlett-25m","2007-08-06",NA,16.5,0.1,NA,NA,NA,NA
"R6-30","Bartlett Reservoir near outlet","verde","bartlett-30m","2007-08-06",NA,15.4,0.1,NA,NA,NA,NA
"R6-35","Bartlett Reservoir near outlet","verde","bartlett-35m","2007-08-06",NA,14.1,0.1,NA,NA,NA,NA
"R6-40","Bartlett Reservoir near outlet","verde","bartlett-40m","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R6-45","Bartlett Reservoir near outlet","verde","bartlett-45m","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R6-5","Bartlett Reservoir near outlet","verde","bartlett-5m","2007-08-06",NA,28.5,6.4,NA,NA,NA,NA
"R6-50","Bartlett Reservoir near outlet","verde","bartlett-50m","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-0m","2007-08-06",NA,28.9,7.1,NA,3.05,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R9-10","Saguaro Lake near inlet","salt","saguaro-10m","2007-08-06",NA,23.2,0.1,NA,NA,NA,NA
"R9-15","Saguaro Lake near inlet","salt","saguaro-15m","2007-08-06",NA,22.4,0.1,NA,NA,NA,NA
"R9-20","Saguaro Lake near inlet","salt","saguaro-20m","2007-08-06",NA,22,0.2,NA,NA,NA,NA
"R9-25","Saguaro Lake near inlet","salt","saguaro-25m","2007-08-06",NA,21.8,0.3,NA,NA,NA,NA
"R9-30","Saguaro Lake near inlet","salt","saguaro-30m","2007-08-06",NA,21.4,0.3,NA,NA,NA,NA
"R9-35","Saguaro Lake near inlet","salt","saguaro-35m","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R9-40","Saguaro Lake near inlet","salt","saguaro-40m","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R9-45","Saguaro Lake near inlet","salt","saguaro-45m","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R9-5","Saguaro Lake near inlet","salt","saguaro-5m","2007-08-06",NA,25.6,0.2,NA,NA,NA,NA
"R9-50","Saguaro Lake near inlet","salt","saguaro-50m","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-0m","2007-08-06",NA,28,7.3,NA,1.98,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2007-08-06",NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2007-08-06",NA,14.2,NA,7.6,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2007-08-06",NA,NA,NA,NA,NA,NA,NA
