"site number","site location","Cluster","site acronym","date","sample type","TOC (mg/L)","DOC (mg/L)","UVA (cm-1)","suva (L/mg-m)","peak int","peak int WL","int at 450","int at 460","int at 500","FI (450/500)","docm comments"
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2007-10-08",NA,NA,2.73,0.041,1.5,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2007-10-08",NA,NA,2.85,0.041,1.4,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2007-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2007-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2007-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2007-10-08",NA,NA,2.65,0.078,2.9,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2007-10-08",NA,NA,2.49,0.074,3,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2007-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2007-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2007-10-08",NA,NA,4.4,0.092,2.1,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2007-10-08",NA,NA,4.79,0.094,2,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2007-10-08",NA,NA,4.09,0.092,2.3,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2007-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2007-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2007-10-08",NA,NA,4.02,0.092,2.3,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2007-10-08",NA,NA,3.58,0.081,2.3,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2007-10-08",NA,NA,3.57,0.069,1.9,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2007-10-08",NA,NA,2.69,0.041,1.5,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2007-10-08",NA,NA,2.18,0.02,0.9,NA,NA,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista west-treated","2007-10-08",NA,NA,2.66,0.041,1.5,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet",NA,"Glen In","2007-11-12",NA,NA,2.95,0.046,1.6,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet",NA,"Glen Out","2007-11-12",NA,NA,2.66,0.014,0.5,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2007-11-12",NA,NA,2.85,0.037,1.3,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2007-11-12",NA,NA,2.22,0.039,1.8,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2007-11-12",NA,NA,2.08,0.058,2.8,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2007-11-12",NA,NA,2.8,0.043,1.5,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2007-11-12",NA,NA,2.37,0.026,1.1,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2007-11-12",NA,NA,2.72,0.044,1.6,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2007-11-12",NA,NA,3.97,0.086,2.2,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2007-11-12",NA,NA,2.77,0.039,1.4,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2007-11-12",NA,NA,2.17,0.061,2.8,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2007-11-12",NA,NA,2.56,0.044,1.7,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2007-11-12",NA,NA,2.78,0.044,1.6,NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2007-11-12",NA,NA,2.16,0.023,1.1,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2007-11-12",NA,NA,2.73,0.044,1.6,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2007-11-12",NA,NA,2.27,0.028,1.2,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2007-11-12",NA,NA,0.93,0.021,2.3,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2007-11-12",NA,NA,2.81,0.044,1.6,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2007-11-12",NA,NA,2.85,0.044,1.5,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2007-11-12",NA,NA,2.56,0.047,1.8,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2007-11-12",NA,NA,3.23,0.043,1.3,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2007-11-12",NA,NA,3.28,0.043,1.3,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2007-11-12",NA,NA,3.04,0.04,1.3,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2007-11-12",NA,NA,2.82,0.071,2.5,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2007-11-12",NA,NA,3.24,0.073,2.3,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2007-11-12",NA,NA,5.27,0.094,1.8,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2007-11-12",NA,NA,5.41,0.093,1.7,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2007-11-12",NA,NA,5.34,0.094,1.8,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2007-11-12",NA,NA,2.67,0.043,1.5,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2007-11-12",NA,NA,2.86,0.041,1.4,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2007-11-12",NA,NA,2.3,0.02,0.9,NA,NA,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista west-treated","2007-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet",NA,"Glen In","2007-12-03",NA,NA,2.81,0.086,3.1,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet",NA,"Glen Out","2007-12-03",NA,NA,1.52,0.025,1.6,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2007-12-03",NA,NA,2.47,0.38,1.5,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2007-12-03",NA,NA,3.17,0.126,4,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2007-12-03",NA,NA,8.81,0.43,4.9,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2007-12-03",NA,NA,3.67,0.074,2,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2007-12-03",NA,NA,7.07,0.335,4.7,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2007-12-03",NA,NA,4.59,0.094,2.1,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2007-12-03",NA,NA,2.78,0.038,1.4,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2007-12-03",NA,NA,4.95,0.166,3.4,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2007-12-03",NA,NA,4.99,0.179,3.4,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2007-12-03",NA,NA,8.96,0.445,5,NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2007-12-03",NA,NA,3.35,0.063,1.5,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2007-12-03",NA,NA,3.92,0.109,2.8,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2007-12-03",NA,NA,2.88,0.04,1.9,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2007-12-03",NA,NA,0.75,0.02,2.7,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2007-12-03",NA,NA,7.13,0.33,4.6,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2007-12-03",NA,NA,8.72,0.439,5,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2007-12-03",NA,NA,4.83,0.176,3.6,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2007-12-03",NA,NA,2.77,0.041,1.5,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2007-12-03",NA,NA,2.8,0.041,1.5,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2007-12-03",NA,NA,2.84,0.04,1.4,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2007-12-03",NA,NA,2.5,0.069,2.8,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2007-12-03",NA,NA,2.42,0.068,2.8,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2007-12-03",NA,NA,4.72,0.092,2,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2007-12-03",NA,NA,4.65,0.093,2,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2007-12-03",NA,NA,4.79,0.093,1.9,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2007-12-03",NA,NA,2.72,0.038,1.4,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2007-12-03",NA,NA,2.68,0.023,0.9,NA,NA,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista west-treated","2007-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet",NA,"Glen In","2008-01-07",NA,NA,3.84,0.1,2.6,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet",NA,"Glen Out","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2008-01-07",NA,NA,2.51,0.035,1.4,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2008-01-07",NA,NA,2.53,0.085,3.4,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2008-01-07",NA,NA,5.05,0.162,3.1,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2008-01-07",NA,NA,3.81,0.083,2.2,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2008-01-07",NA,NA,2.63,0.036,1.4,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2008-01-07",NA,NA,2.81,0.036,1.3,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2008-01-07",NA,NA,4.83,0.163,3.4,NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2008-01-07",NA,NA,3.99,0.096,2.4,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2008-01-07",NA,NA,3.98,0.107,3.7,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2008-01-07",NA,NA,4.35,0.158,3.6,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2008-01-07",NA,NA,3.12,0.067,2.2,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2008-01-07",NA,NA,5.15,0.162,3.2,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2008-01-07",NA,NA,4.88,0.172,3.5,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2008-01-07",NA,NA,5.76,0.256,4.4,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2008-01-07",NA,NA,2.66,0.039,1.5,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2008-01-07",NA,NA,2.95,0.041,1.4,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2008-01-07",NA,NA,2.63,0.037,1.4,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2008-01-07",NA,NA,2.5,0.041,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2008-01-07",NA,NA,2.42,0.041,NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2008-01-07",NA,NA,5.85,0.112,1.9,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2008-01-07",NA,NA,5.94,0.113,1.9,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2008-01-07",NA,NA,5.58,0.112,2,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2008-01-07",NA,NA,4.4,0.164,3.7,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2008-01-07",NA,NA,3.47,0.104,3,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2008-01-07",NA,NA,3.07,0.085,2.8,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2008-01-07",NA,NA,2.73,0.037,1.4,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2008-01-07",NA,NA,2.34,0.019,0.8,NA,NA,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista west-treated","2008-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet",NA,"Glen In","2008-02-04",NA,NA,7.8,0.19,2.4,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet",NA,"Glen Out","2008-02-04",NA,NA,3.86,0.041,1.1,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2008-02-04",NA,NA,7.08,0.187,2.6,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2008-02-04",NA,NA,7.57,0.207,2.8,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2008-02-04",NA,NA,7.59,0.194,2.6,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2008-02-04",NA,NA,6.3,0.089,1.4,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2008-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2008-02-04",NA,NA,7.61,0.214,2.8,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2008-02-04",NA,NA,7.44,0.222,3,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2008-02-04",NA,NA,7.54,0.187,2.5,NA,NA,NA,NA,NA,NA,NA
